Handle,Title,Category,Option1 Value,Option2 Value,product number,Variant Inventory Qty,Product price
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 14,Bumper Case,KD51625,200,16.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 14,Bumper Case (MagSafe),KD51626,200,19.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 14 Pro,Jelly Case,KD51627,200,11.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 14 Pro,Bumper Case,KD51628,200,16.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 14 Pro,Bumper Case (MagSafe),KD51629,200,19.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 14 Plus,Jelly Case,KD51630,200,11.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 14 Plus,Bumper Case,KD51631,200,16.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 14 Plus,Bumper Case (MagSafe),KD51632,200,19.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 14 Pro Max,Jelly Case,KD51633,200,11.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 14 Pro Max,Bumper Case,KD51634,200,16.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 14 Pro Max,Bumper Case (MagSafe),KD51635,200,19.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 13,Jelly Case,KD51636,0,11.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 13,Bumper Case,KD51637,200,16.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 13,Bumper Case (MagSafe),KD51638,200,19.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 13 Pro,Jelly Case,KD51639,0,11.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 13 Pro,Bumper Case,KD51640,200,16.99
